qa_id,key,kind,score
training_3973,A,letter,-1.2742575407028198
training_3973,B,letter,-4.336757659912109
training_3973,C,letter,-0.6648825407028198
training_3973,D,letter,-1.6492575407028198
training_3597,A,letter,-6.335580348968506
training_3597,B,letter,-5.413705348968506
training_3597,C,letter,-0.0074551468715071
training_3600,A,letter,-5.718026161193848
training_3600,B,letter,-3.218025922775269
training_3600,C,letter,-0.046150978654623
training_3604,A,letter,-0.1891505718231201
training_3604,B,letter,-2.06415057182312
training_3604,C,letter,-3.15790057182312
training_3610,A,letter,-0.3085954487323761
training_3610,B,letter,-1.3710954189300537
training_3610,C,letter,-4.605470657348633
training_3611,A,letter,-7.188716888427734
training_3611,B,letter,-3.5012168884277344
training_3611,C,letter,-0.0324668362736702
training_3991,A,letter,-1.450110912322998
training_3991,B,letter,-1.184485912322998
training_3991,C,letter,-3.606360912322998
training_3991,D,letter,-0.840735912322998
training_3621,A,letter,-0.0119283003732562
training_3621,B,letter,-5.246303081512451
training_3621,C,letter,-5.152553081512451
training_3992,A,letter,-3.501083374023437
training_3992,B,letter,-3.7510833740234375
training_3992,C,letter,-0.5479584336280823
training_3992,D,letter,-1.0010833740234375
training_3993,A,letter,-0.2452649176120758
training_3993,B,letter,-1.6046398878097534
training_3993,C,letter,-5.464015007019043
training_3993,D,letter,-4.432765007019043
training_3625,A,letter,-2.36848258972168
training_3625,B,letter,-0.1341075748205185
training_3625,C,letter,-3.49348258972168
training_3628,A,letter,-2.5383975505828857
training_3628,B,letter,-0.1633976101875305
training_3628,C,letter,-2.7102725505828857
training_3629,A,letter,-0.3434550762176513
training_3629,B,letter,-1.6403300762176514
training_3629,C,letter,-2.374705076217652
training_3633,A,letter,-1.3949980735778809
training_3633,B,letter,-1.6137480735778809
training_3633,C,letter,-0.5981231331825256
training_3634,A,letter,-5.204230308532715
training_3634,B,letter,-0.2042304128408432
training_3634,C,letter,-1.7354804277420044
training_3637,A,letter,-2.468208312988281
training_3637,B,letter,-1.2963333129882812
training_3637,C,letter,-0.4525832533836365
training_3641,A,letter,-0.0159725211560726
training_3641,B,letter,-5.23472261428833
training_3641,C,letter,-4.71909761428833
training_3644,A,letter,-6.596338748931885
training_3644,B,letter,-0.002588614122942
training_3644,C,letter,-7.049463748931885
training_3647,A,letter,-0.0147914644330739
training_3647,B,letter,-5.530416488647461
training_3647,C,letter,-4.639791488647461
training_3650,A,letter,-7.565566539764404
training_3650,B,letter,-0.003066363511607
training_3650,C,letter,-6.362441539764404
training_3654,A,letter,-1.875948905944824
training_3654,B,letter,-0.5009489059448242
training_3654,C,letter,-1.4384489059448242
training_3655,A,letter,-2.509883403778076
training_3655,B,letter,-0.9005083441734314
training_3655,C,letter,-0.6817583441734314
training_3659,A,letter,-2.819619655609131
training_3659,B,letter,-2.194619655609131
training_3659,C,letter,-0.194619596004486
training_3660,A,letter,-3.049438714981079
training_3660,B,letter,-2.518188714981079
training_3660,C,letter,-0.1431886553764343
training_3661,A,letter,-0.3567195236682892
training_3661,B,letter,-1.5129694938659668
training_3661,C,letter,-2.669219493865967
training_4004,A,letter,-1.9401811361312864
training_4004,B,letter,-2.424556016921997
training_4004,C,letter,-3.018306016921997
training_4004,D,letter,-0.3308061063289642
training_3666,A,letter,-7.676923751831055
training_3666,B,letter,-5.598798751831055
training_3666,C,letter,-0.0050487406551837
training_3671,A,letter,-10.093957901000977
training_3671,B,letter,-0.0002078793913824
training_3671,C,letter,-9.390832901000977
training_3673,A,letter,-1.8550493717193604
training_3673,B,letter,-0.3237993121147156
training_3673,C,letter,-2.2144243717193604
training_4013,A,letter,-1.8818929195404053
training_4013,B,letter,-2.4912679195404053
training_4013,C,letter,-0.3975179493427276
training_4013,D,letter,-2.3818929195404053
training_4014,A,letter,-0.6464151740074158
training_4014,B,letter,-1.6776652336120603
training_4014,C,letter,-2.1151652336120605
training_4014,D,letter,-1.7870402336120603
training_3675,A,letter,-0.1360656172037124
training_3675,B,letter,-4.870440483093262
training_3675,C,letter,-2.151690721511841
training_3676,A,letter,-0.0026045469567179
training_3676,B,letter,-6.9088544845581055
training_3676,C,letter,-6.6744794845581055
training_3678,A,letter,-0.8383349776268005
training_3678,B,letter,-2.0570850372314453
training_3678,C,letter,-0.8383349776268005
training_3682,A,letter,-0.0093876365572214
training_3682,B,letter,-8.384387969970703
training_3682,C,letter,-4.728137493133545
training_4026,A,letter,-4.051761150360107
training_4026,B,letter,-0.8642611503601074
training_4026,C,letter,-1.9267611503601076
training_4026,D,letter,-0.8798861503601074
training_4033,A,letter,-3.941232919692993
training_4033,B,letter,-2.113107919692993
training_4033,C,letter,-1.3318579196929932
training_4033,D,letter,-0.5193578600883484
training_3701,A,letter,-1.0593889951705933
training_3701,B,letter,-0.6062639951705933
training_3701,C,letter,-2.293764114379883
training_4040,A,letter,-2.4326324462890625
training_4040,B,letter,-4.932632446289063
training_4040,C,letter,-0.151382565498352
training_4040,D,letter,-3.1045074462890625
training_3703,A,letter,-1.658321738243103
training_3703,B,letter,-0.3145717680454254
training_3703,C,letter,-2.5801968574523926
training_4041,A,letter,-3.971374273300171
training_4041,B,letter,-0.0338743142783641
training_4041,C,letter,-4.75262451171875
training_4041,D,letter,-5.22137451171875
training_3708,A,letter,-0.0138038517907261
training_3708,B,letter,-4.373178958892822
training_3708,C,letter,-7.107553958892822
training_4046,A,letter,-8.866538047790527
training_4046,B,letter,-9.507163047790527
training_4046,C,letter,-4.975913047790527
training_4046,D,letter,-0.0071630808524787
training_3710,A,letter,-0.1226837038993835
training_3710,B,letter,-4.513308525085449
training_3710,C,letter,-2.2945587635040283
training_3712,A,letter,-2.0742459297180176
training_3712,B,letter,-1.667995810508728
training_3712,C,letter,-0.3867458403110504
training_4054,A,letter,-1.1147702932357788
training_4054,B,letter,-0.5366452932357788
training_4054,C,letter,-3.2241454124450684
training_4054,D,letter,-3.0678954124450684
training_4057,A,letter,-4.501044273376465
training_4057,B,letter,-2.735419273376465
training_4057,C,letter,-3.172919273376465
training_4057,D,letter,-0.1260441988706588
training_3721,A,letter,-3.52018666267395
training_3721,B,letter,-0.0514365807175636
training_3721,C,letter,-4.004561424255371
training_4063,A,letter,-6.210659503936768
training_4063,B,letter,-0.0075343023054301
training_4063,C,letter,-7.476284503936768
training_4063,D,letter,-5.335659503936768
training_3735,A,letter,-4.210214138031006
training_3735,B,letter,-3.8508388996124263
training_3735,C,letter,-0.03833894059062
training_3738,A,letter,-2.62503981590271
training_3738,B,letter,-0.0781648084521293
training_3738,C,letter,-6.453164577484131
training_3739,A,letter,-3.145060777664185
training_3739,B,letter,-0.0825606808066368
training_3739,C,letter,-3.613810777664185
training_3742,A,letter,-7.30237340927124
training_3742,B,letter,-0.0054984050802886
training_3742,C,letter,-5.73987340927124
training_3745,A,letter,-0.5205549597740173
training_3745,B,letter,-5.176805019378662
training_3745,C,letter,-0.9268049597740172
training_3751,A,letter,-0.0924200788140297
training_3751,B,letter,-6.733045101165772
training_3751,C,letter,-2.4517951011657715
training_3760,A,letter,-0.0457992888987064
training_3760,B,letter,-7.405174255371094
training_3760,C,letter,-3.1395492553710938
training_3763,A,letter,-8.236273765563965
training_3763,B,letter,-0.0018991068936884
training_3763,C,letter,-6.783149242401123
training_3768,A,letter,-0.0409093871712684
training_3768,B,letter,-6.697159290313721
training_3768,C,letter,-3.2909092903137207
training_3769,A,letter,-0.0665797740221023
training_3769,B,letter,-3.316579818725586
training_3769,C,letter,-3.707204818725586
training_3771,A,letter,-1.6049964427947998
training_3771,B,letter,-2.0268714427948
training_3771,C,letter,-0.4174964129924774
training_3777,A,letter,-3.429590940475464
training_3777,B,letter,-2.960840940475464
training_3777,C,letter,-0.1014659330248832
training_3778,A,letter,-0.0557643510401248
training_3778,B,letter,-5.368264198303223
training_3778,C,letter,-3.0401394367218018
training_3788,A,letter,-3.7082653045654297
training_3788,B,letter,-0.2238901853561401
training_3788,C,letter,-1.77076518535614
training_3794,A,letter,-5.575079917907715
training_3794,B,letter,-0.012579851783812
training_3794,C,letter,-5.028204917907715
training_3800,A,letter,-3.985145092010498
training_3800,B,letter,-0.938270092010498
training_3800,C,letter,-0.532020092010498
training_3807,A,letter,-4.059006214141846
training_3807,B,letter,-4.746506214141846
training_3807,C,letter,-0.0277560483664274
training_3808,A,letter,-0.2958791255950928
training_3808,B,letter,-1.9208791255950928
training_3808,C,letter,-2.2646291255950928
training_3814,A,letter,-6.3209004402160645
training_3814,B,letter,-0.4771504402160644
training_3814,C,letter,-0.9771504402160645
training_3822,A,letter,-1.0502681732177734
training_3822,B,letter,-0.4721431136131286
training_3822,C,letter,-3.690893173217773
training_3825,A,letter,-1.777623176574707
training_3825,B,letter,-0.1994982212781906
training_3825,C,letter,-4.574498176574707
training_3837,A,letter,-1.3851268291473389
training_3837,B,letter,-6.66637659072876
training_3837,C,letter,-0.2913767993450165
training_3840,A,letter,-3.1460554599761963
training_3840,B,letter,-3.4585554599761963
training_3840,C,letter,-0.0835554078221321
training_3842,A,letter,-2.6577420234680176
training_3842,B,letter,-0.704616904258728
training_3842,C,letter,-0.845241904258728
training_3865,A,letter,-0.0013181816320866
training_3865,B,letter,-7.657567977905273
training_3865,C,letter,-7.470067977905273
training_3872,A,letter,-2.080672264099121
training_3872,B,letter,-5.002547264099121
training_3872,C,letter,-0.1431722193956375
training_3874,A,letter,-3.66443395614624
training_3874,B,letter,-1.0706839561462402
training_3874,C,letter,-0.4613088965415954
training_3876,A,letter,-0.6353021860122681
training_3876,B,letter,-6.4946770668029785
training_3876,C,letter,-0.7603021860122681
training_3878,A,letter,-0.4196494519710541
training_3878,B,letter,-1.3571494817733765
training_3878,C,letter,-2.591524362564087
training_3884,A,letter,-5.789874076843262
training_3884,B,letter,-3.071124315261841
training_3884,C,letter,-0.055499255657196
training_3885,A,letter,-1.2841753959655762
training_3885,B,letter,-6.018550395965576
training_3885,C,letter,-0.3310503959655761
training_3887,A,letter,-5.197129726409912
training_3887,B,letter,-4.072129726409912
training_3887,C,letter,-0.025254750624299
training_3891,A,letter,-1.1152796745300293
training_3891,B,letter,-1.9590296745300293
training_3891,C,letter,-0.7246546745300293
training_3893,A,letter,-2.788093090057373
training_3893,B,letter,-2.631843090057373
training_3893,C,letter,-0.1474680006504058
training_3902,A,letter,-1.0435248613357544
training_3902,B,letter,-2.934149742126465
training_3902,C,letter,-0.5278998613357544
training_4071,A,letter,-7.561265468597412
training_4071,B,letter,-3.842515230178833
training_4071,C,letter,-4.889390468597412
training_4071,D,letter,-0.0300152525305748
training_3904,A,letter,-7.376929759979248
training_3904,B,letter,-0.0019295661477372
training_3904,C,letter,-7.001929759979248
training_3912,A,letter,-0.6382855176925659
training_3912,B,letter,-2.7789106369018555
training_3912,C,letter,-0.903910517692566
training_3917,A,letter,-0.3386098146438598
training_3917,B,letter,-1.86985981464386
training_3917,C,letter,-2.0417346954345703
training_3918,A,letter,-5.270147800445557
training_3918,B,letter,-0.4263980090618133
training_3918,C,letter,-1.0826480388641355
training_3919,A,letter,-10.719069480895996
training_3919,B,letter,-0.0003190723655279
training_3919,C,letter,-8.375319480895996
training_3925,A,letter,-1.416678547859192
training_3925,B,letter,-1.869803547859192
training_3925,C,letter,-0.5104285478591919
training_4085,A,letter,-1.8235691785812376
training_4085,B,letter,-0.5266941785812378
training_4085,C,letter,-1.9798191785812376
training_4085,D,letter,-2.214194297790528
training_3927,A,letter,-2.260348081588745
training_3927,B,letter,-1.463473200798035
training_3927,C,letter,-0.4165981709957123
training_3928,A,letter,-0.2361315190792083
training_3928,B,letter,-1.7361315488815308
training_3928,C,letter,-3.486131429672241
training_3929,A,letter,-1.4044955968856812
training_3929,B,letter,-4.951370716094971
training_3929,C,letter,-0.2951205670833587
training_3931,A,letter,-1.4624360799789429
training_3931,B,letter,-3.2436861991882324
training_3931,C,letter,-0.3218110799789428
training_4090,A,letter,-0.8454434871673584
training_4090,B,letter,-1.8454434871673584
training_4090,C,letter,-1.3923184871673584
training_4090,D,letter,-1.8141934871673584
training_3933,A,letter,-3.8295094966888423
training_3933,B,letter,-1.7513844966888428
training_3933,C,letter,-0.2201344817876815
training_4091,A,letter,-1.285487413406372
training_4091,B,letter,-1.738612413406372
training_4091,C,letter,-0.926112413406372
training_4091,D,letter,-1.894862413406372
training_3934,A,letter,-0.6706358194351196
training_3934,B,letter,-4.06126070022583
training_3934,C,letter,-0.7643858194351196
training_4092,A,letter,-1.603461742401123
training_4092,B,letter,-1.540961742401123
training_4092,C,letter,-0.978461742401123
training_4092,D,letter,-1.572211742401123
training_4094,A,letter,-2.512209892272949
training_4094,B,letter,-1.3559598922729492
training_4094,C,letter,-1.6059598922729492
training_4094,D,letter,-0.7778348922729492
training_3943,A,letter,-1.180553674697876
training_3943,B,letter,-1.305553674697876
training_3943,C,letter,-0.883678674697876
training_3945,A,letter,-7.571826934814453
training_3945,B,letter,-0.0093271704390645
training_3945,C,letter,-4.853076934814453
training_3951,A,letter,-0.295475035905838
training_3951,B,letter,-3.811100006103516
training_3951,C,letter,-1.4673500061035156
training_3955,A,letter,-5.523937702178955
training_3955,B,letter,-6.461437702178955
training_3955,C,letter,-0.0083125084638595
training_0002,A,letter,-1.6597856283187866
training_0002,B,letter,-3.144160509109497
training_0002,C,letter,-0.4097855985164642
training_0002,D,letter,-2.300410509109497
training_0813,A,present,-2.031249918043613
training_0813,B,present,-6.296874909312464
training_0813,C,present,-6.000000097090378
training_0813,D,present,-1.7031249552965164
training_1624,A,letter,-1.454740285873413
training_1624,B,letter,-0.4859903454780578
training_1624,C,letter,-2.939115285873413
training_1624,D,letter,-2.329740285873413
training_2416,ADBC,perm,1.0
training_2416,A<B,pair,1.3437500149011612
training_2416,A<C,pair,1.9687500596046448
training_2416,A<D,pair,1.0312500298023224
training_2416,B<C,pair,0.4375
training_2416,B<D,pair,-0.40625
training_2416,C<D,pair,-0.5468750596046448
training_2725,A,letter,-1.1751275062561035
training_2725,B,letter,-2.0345025062561035
training_2725,C,letter,-0.8782525062561035
training_2725,D,letter,-1.9407525062561035
training_0003,A,letter,-2.6268489360809326
training_0003,B,letter,-0.2362238615751266
training_0003,C,letter,-2.8455989360809326
training_0003,D,letter,-2.5643489360809326
training_0814,A,present,-3.4687499590218067
training_0814,B,present,-6.078124914551154
training_0814,C,present,-0.21875
training_0814,D,present,-4.51562490221113
training_1625,A,letter,-4.484938621520996
training_1625,B,letter,-0.0630637258291244
training_1625,C,letter,-3.516188621520996
training_1625,D,letter,-3.953688621520996
training_2417,DCBA,perm,1.0
training_2417,A<B,pair,-1.4843750149011612
training_2417,A<C,pair,-1.2656250298023224
training_2417,A<D,pair,-1.9999998807907104
training_2417,B<C,pair,0.09375
training_2417,B<D,pair,-0.15625
training_2417,C<D,pair,-0.375
training_2726,A,letter,-2.243022918701172
training_2726,B,letter,-2.602397918701172
training_2726,C,letter,-4.602397918701172
training_2726,D,letter,-0.2117728590965271
training_0006,A,letter,-0.0979345589876174
training_0006,B,letter,-6.519809722900391
training_0006,C,letter,-2.4416844844818115
training_0006,D,letter,-5.535434722900391
training_0817,A,present,-0.6093750298023224
training_0817,B,present,-5.437499833293259
training_0817,C,present,-7.296875022933818
training_0817,D,present,-0.5624999701976776
training_1628,A,letter,-2.3146867752075195
training_1628,B,letter,-4.01781177520752
training_1628,C,letter,-2.1428117752075195
training_1628,D,letter,-0.2678118944168091
training_2729,A,letter,-1.715358018875122
training_2729,B,letter,-1.559108018875122
training_2729,C,letter,-0.6684829592704773
training_2729,D,letter,-2.340358018875122
training_0009,A,letter,-4.678098201751709
training_0009,B,letter,-7.053098201751709
training_0009,C,letter,-4.506223201751709
training_0009,D,letter,-0.0218479931354522
training_0820,A,present,-0.5781250596046448
training_0820,B,present,-5.390624953899533
training_0820,C,present,-2.687500044703484
training_0820,D,present,-4.281250037252903
training_1631,A,letter,-0.766939103603363
training_1631,B,letter,-1.4075641632080078
training_1631,C,letter,-2.266939163208008
training_1631,D,letter,-1.6888141632080078
training_2732,A,letter,-3.2649590969085693
training_2732,B,letter,-4.218084335327148
training_2732,C,letter,-0.6555840969085693
training_2732,D,letter,-0.8587090969085693
training_0011,A,letter,-1.7569446563720703
training_0011,B,letter,-0.9444447159767152
training_0011,C,letter,-1.0381946563720703
training_0011,D,letter,-2.4913196563720703
training_0822,A,present,-1.6718750596046448
training_0822,B,present,-0.984375
training_0822,C,present,-3.9062500335276127
training_0822,D,present,-2.078125022351742
training_1633,A,letter,-0.7226805090904236
training_1633,B,letter,-0.9883055090904236
training_1633,C,letter,-4.535180568695068
training_1633,D,letter,-2.0351805686950684
training_2419,ACDB,perm,1.0
training_2419,A<B,pair,5.249999824445695
training_2419,A<C,pair,-0.296875
training_2419,A<D,pair,4.343749891966581
training_2419,B<C,pair,-7.015625105937943
training_2419,B<D,pair,-3.3749998807907104
training_2419,C<D,pair,3.703124925494194
training_2734,A,letter,-1.278459548950195
training_2734,B,letter,-1.9034595489501955
training_2734,C,letter,-0.8722095489501953
training_2734,D,letter,-1.8878345489501955
training_0013,A,letter,-2.037104606628418
training_0013,B,letter,-0.1621046513319015
training_0013,C,letter,-4.240229606628418
training_0013,D,letter,-5.833979606628418
training_0824,A,present,-2.124999977648258
training_0824,B,present,-3.046875100582838
training_0824,C,present,-0.375
training_0824,D,present,-1.4687500149011612
training_1635,A,letter,-3.0214433670043945
training_1635,B,letter,-2.6620683670043945
training_1635,C,letter,-0.1464433670043945
training_1635,D,letter,-4.0839433670043945
training_2736,A,letter,-1.9815983772277832
training_2736,B,letter,-3.497223377227783
training_2736,C,letter,-0.934723436832428
training_2736,D,letter,-0.825348436832428
training_0015,A,letter,-9.20475959777832
training_0015,B,letter,-0.0016346914926543
training_0015,C,letter,-7.32975959777832
training_0015,D,letter,-7.28288459777832
training_0826,A,present,-3.2500000074505806
training_0826,B,present,-3.203124925494194
training_0826,C,present,-1.6875000447034836
training_0826,D,present,-7.265625067404471
training_1637,A,letter,-6.515800476074219
training_1637,B,letter,-3.6251754760742183
training_1637,C,letter,-0.0470504201948642
training_1637,D,letter,-4.062675476074219
training_2738,A,letter,-4.394497871398926
training_2738,B,letter,-2.394498109817505
training_2738,C,letter,-2.863248109817505
training_2738,D,letter,-0.1757480949163437
training_0019,A,letter,-1.114403247833252
training_0019,B,letter,-2.755028247833252
training_0019,C,letter,-3.036278247833252
training_0019,D,letter,-0.583153247833252
training_0830,A,present,-1.4531249552965164
training_0830,B,present,-2.4843749925494194
training_0830,C,present,-2.968749947845936
training_0830,D,present,-2.703125089406967
training_1641,A,letter,-2.498108386993408
training_1641,B,letter,-1.5293583869934082
training_1641,C,letter,-2.123108386993408
training_1641,D,letter,-0.544983446598053
training_2742,A,letter,-3.681320190429688
training_2742,B,letter,-0.4469452202320099
training_2742,C,letter,-1.1031951904296875
training_2742,D,letter,-5.946945190429688
training_0028,A,letter,-5.175047397613525
training_0028,B,letter,-1.237547516822815
training_0028,C,letter,-4.971922397613525
training_0028,D,letter,-0.3625475168228149
training_0839,A,present,-5.68750000372529
training_0839,B,present,-4.937499892897904
training_0839,C,present,-1.0468750596046448
training_0839,D,present,-3.718750109896064
training_1650,A,letter,-0.5007472038269043
training_1650,B,letter,-4.610122203826904
training_1650,C,letter,-2.2819972038269043
training_1650,D,letter,-1.2819972038269043
training_2427,DCBA,perm,1.0
training_2427,A<B,pair,-1.09375
training_2427,A<C,pair,-2.3281250670552254
training_2427,A<D,pair,-2.7343750298023224
training_2427,B<C,pair,-1.0781250298023224
training_2427,B<D,pair,-1.21875
training_2427,C<D,pair,0.375
training_2751,A,letter,-0.6427945494651794
training_2751,B,letter,-1.970919609069824
training_2751,C,letter,-2.299044609069824
training_2751,D,letter,-1.4552946090698242
training_0032,A,letter,-1.640526533126831
training_0032,B,letter,-0.6405265927314758
training_0032,C,letter,-1.718651533126831
training_0032,D,letter,-2.328026533126831
training_0843,A,present,-3.2031249068677425
training_0843,B,present,-1.453125
training_0843,C,present,-4.374999915249646
training_0843,D,present,-4.546875230967999
training_1654,A,letter,-3.930997848510742
training_1654,B,letter,-4.180997848510742
training_1654,C,letter,-0.0559978149831295
training_1654,D,letter,-3.977872848510742
training_2431,ACBD,perm,1.0
training_2431,A<B,pair,2.4999998807907104
training_2431,A<C,pair,1.4062499850988388
training_2431,A<D,pair,2.609374985098839
training_2431,B<C,pair,-0.34375
training_2431,B<D,pair,0.265625
training_2431,C<D,pair,1.0625000298023224
training_2755,A,letter,-4.717383861541748
training_2755,B,letter,-4.842383861541748
training_2755,C,letter,-1.0611339807510376
training_2755,D,letter,-0.45175901055336
training_0387,A,letter,-0.0374020002782344
training_0387,B,letter,-3.7405269145965576
training_0387,C,letter,-5.740527153015137
training_0387,D,letter,-4.662402153015137
training_1198,A,present,-3.187499899417162
training_1198,B,present,3.8281249050050974
training_1198,C,present,-4.531249946914613
training_1198,D,present,-0.125
training_2002,A,letter,-3.365823745727539
training_2002,B,letter,-0.0689486637711525
training_2002,C,letter,-6.365823745727539
training_2002,D,letter,-3.506448745727539
training_3110,A,letter,-0.1703645288944244
training_3110,B,letter,-2.498489618301392
training_3110,C,letter,-4.1547393798828125
training_3110,D,letter,-2.842239618301392
training_0390,A,letter,-0.0167060904204845
training_0390,B,letter,-6.454205989837647
training_0390,C,letter,-4.313580989837647
training_0390,D,letter,-6.657330989837647
training_1201,A,present,-3.2500000409781933
training_1201,B,present,1.546875
training_1201,C,present,-8.437499784107786
training_1201,D,present,-2.593750096857548
training_2005,A,letter,-1.25970458984375
training_2005,B,letter,-1.55657958984375
training_2005,C,letter,-0.7909545302391052
training_2005,D,letter,-2.99407958984375
training_3113,A,letter,-2.4109771251678467
training_3113,B,letter,-0.1141020804643631
training_3113,C,letter,-5.410976886749268
training_3113,D,letter,-4.332851886749268
training_0392,A,letter,-1.800995111465454
training_0392,B,letter,-3.519745111465454
training_0392,C,letter,-0.3166200518608093
training_0392,D,letter,-2.597870111465454
training_1203,A,present,-2.046874888241291
training_1203,B,present,-1.7031249850988388
training_1203,C,present,-1.7500000596046448
training_1203,D,present,-3.0937500298023224
training_2007,A,letter,-4.232073783874512
training_2007,B,letter,-0.1851986497640609
training_2007,C,letter,-3.1070735454559326
training_2007,D,letter,-2.2164485454559326
training_3115,A,letter,-4.254936695098877
training_3115,B,letter,-0.1611867398023605
training_3115,C,letter,-2.192436695098877
training_3115,D,letter,-3.817436695098877
training_0393,A,letter,-0.6584813594818115
training_0393,B,letter,-4.705356597900391
training_0393,C,letter,-0.7522313594818115
training_0393,D,letter,-6.611606597900391
training_1204,A,present,-2.687499962747097
training_1204,B,present,-2.4531250670552254
training_1204,C,present,-7.515624821593519
training_1204,D,present,-0.5156250298023224
training_2008,A,letter,-4.466954231262207
training_2008,B,letter,-4.451329231262207
training_2008,C,letter,-5.185704231262207
training_2008,D,letter,-0.0294543746858835
training_3116,A,letter,-2.061903476715088
training_3116,B,letter,-1.7181535959243774
training_3116,C,letter,-5.249403476715088
training_3116,D,letter,-0.374403566122055
training_0401,A,letter,-1.7843046188354492
training_0401,B,letter,-6.862429618835449
training_0401,C,letter,-0.190554678440094
training_0401,D,letter,-5.596804618835449
training_1212,A,present,2.359375052154064
training_1212,B,present,-0.125
training_1212,C,present,2.203124932944774
training_1212,D,present,-7.078125166823156
training_2016,A,letter,-5.417574405670166
training_2016,B,letter,-0.0425743423402309
training_2016,C,letter,-4.464449405670166
training_2016,D,letter,-3.683199405670166
training_2564,ADBC,perm,1.0
training_2564,A<B,pair,-0.140625
training_2564,A<C,pair,1.7656249850988388
training_2564,A<D,pair,1.843750044703484
training_2564,B<C,pair,0.453125
training_2564,B<D,pair,0.25
training_2564,C<D,pair,1.6093749850988388
training_3124,A,letter,-0.5038939118385315
training_3124,B,letter,-2.1913938522338867
training_3124,C,letter,-1.6913938522338867
training_3124,D,letter,-2.3163938522338867
training_0402,A,letter,-4.146267414093018
training_0402,B,letter,-0.0212674587965011
training_0402,C,letter,-6.193142414093018
training_0402,D,letter,-5.927517414093018
training_1213,A,present,-1.1249999403953552
training_1213,B,present,-7.890625105617801
training_1213,C,present,-6.734374899649993
training_1213,D,present,-4.531249886378646
training_2017,A,letter,-4.9992756843566895
training_2017,B,letter,-0.0149005781859159
training_2017,C,letter,-5.9367756843566895
training_2017,D,letter,-5.2805256843566895
training_2565,DCAB,perm,1.0
training_2565,A<B,pair,0.53125
training_2565,A<C,pair,-0.5781249403953552
training_2565,A<D,pair,-0.7500000596046448
training_2565,B<C,pair,-0.265625
training_2565,B<D,pair,-0.5624999701976776
training_2565,C<D,pair,-0.359375
training_3125,A,letter,-3.337313652038574
training_3125,B,letter,-0.4623136222362518
training_3125,C,letter,-4.399813652038574
training_3125,D,letter,-1.1341886520385742
training_0403,A,letter,-0.0064773135818541
training_0403,B,letter,-6.709602355957031
training_0403,C,letter,-5.537727355957031
training_0403,D,letter,-6.881477355957031
training_1214,A,present,1.03125
training_1214,B,present,2.265625111758709
training_1214,C,present,-0.78125
training_1214,D,present,-6.078125124797225
training_2018,A,letter,-3.302611351013184
training_2018,B,letter,-0.7401112914085388
training_2018,C,letter,-4.818236351013184
training_2018,D,letter,-0.7401112914085388
